comment,replies,date,user_name
❤🌹🌷❤🙏🙏🙏,[],2024-11-10T22:55:28Z,@barbaraharrington4185
"Aldi has a new protein bread, 15 grams of protein and 2 slices are a serving.",[],2024-11-09T13:56:30Z,@slbrooks6516
"Yes, what is the deal with egg prices? Pork fajitas $2.99? Great deals! Thanks for sharing. 😊",[],2024-11-09T05:08:26Z,@Historyamnesia
Hey Kristi! Hope you have a blessed weekend! Thank you for sharing prices ❤,[],2024-11-09T03:17:17Z,@Evie0526
I need to go to go outlet have not been there in a while.You got some great buys. I like your shirt  sending love and hugs to you ❤,[],2024-11-09T01:01:09Z,@shirleyfranklin3608
Hey Kristi I'm a long time follower but just now started watching again. I was curious how that keto bread is?,[],2024-11-08T23:20:11Z,@saraanaubree
Great haul. Your UGO looks amazing. I wish there was one near me. I love seeing the good deals you get.,[],2024-11-08T23:18:10Z,@amydavis7951
"Try the pepper dip in eggs, deviled eggs  maybe.",[],2024-11-08T21:22:03Z,@lmccarty2201
Thank you,[],2024-11-08T20:54:32Z,@julieburns7973
🦋🦋🌻🌻,[],2024-11-08T20:49:38Z,@denise_sings
"Hello, hello, look who’s here 😊
Love y’all 💕😊🙏🏻🍀",['Hey there! Love ya sweet friend'],2024-11-08T20:19:24Z,@artkeepsave7206
🎉🎉,['🤗'],2024-11-08T20:06:42Z,@mlvc621
Hi Kristi wishing you a blessed day and weekend ahead 😊😊,[],2024-11-08T20:03:37Z,@Renee-n9y
