comment,replies,date,user_name
"I forgot to mention in the video— these recipes are all high in protein, with 20 - 34g of protein per serving! You can find the full nutrient breakdown on our website or in the app: https://bit.ly/PUL_app 💛 Enjoyyy!","['What are your thoughts on legume-based pastas? Just a personal preference or a way to sneak in additional protein? I apologize if you have already talked about them on another video.', 'Amazing!!', 'Please do a collab with Beryl Shereshewsky', 'More of these types of videos please!! So good', 'Can you puree the lentil soup using a regular blender?']",2024-09-26T15:16:54Z,@PickUpLimes
YESSSSSSSS you’re reading my mind,[],2024-11-20T20:51:08Z,@constantlyevolving6635
"My husband and I did this for our groceries this week and we're absolutely blown away. Everything was so tasty, easy to find in the store, and super quick to put together. Would love to see more of these!!

That hummus dressing is to die for",[],2024-11-20T06:06:58Z,@AmbientQuest
Thanks a lot for sharing your passion! I love these! ❤,[],2024-11-20T01:05:15Z,@curlylaf143
Can you please do slow cooker recipes?,[],2024-11-19T23:57:59Z,@saeegunjal9647
I ❤ your kind of meal prep videos with so easy non fancy ingredients 🫶🏻🫶🏻🫶🏻. One of this each week and I would only cook these as I just hate planning meals for the week. And your natural heart warming beeing . Thank you 🫶🏻🙏🏻,[],2024-11-19T17:06:02Z,@Anna-yc8xf
Can you do a series of videos or a single video for skinny people who want to gain weight and are underweight. BMI too low.,[],2024-11-19T08:15:08Z,@anshikakhandelwal_
"Confused about the lentil stew... Does it fully cook in a pot with a lid or do we need a pressure cooker, since it is lentils... And how did the texture change?",[],2024-11-18T17:15:37Z,@ravishasingh4054
Awesome. If I wasn't already a subscriber I definitely would be now!,[],2024-11-17T21:35:04Z,@noblenetdk
"Amazing, I would love to see more meal prep video from you! @PickUpLimes",[],2024-11-17T18:57:36Z,@shivamsuchak5807
This is amazing! Thank you for making this so accessible. Uni and work are intense right now and I barely have time to cook - I‘ll give this a try for the upcoming week!!,[],2024-11-16T09:57:50Z,@arwenschild6406
"I'm not so keen on making them a meal prep but I did like all the recipes, and I will be making some of them in the near future.",[],2024-11-16T02:38:07Z,@RickSelf-rl7qj
"A bit of an annoying question but... for someone intolerant to bell-pepper, what would you replace it with? xx",[],2024-11-15T16:44:20Z,@jujuderaiatea
Seems Netherlands is cheaper than Québec! 🤔,[],2024-11-15T05:08:02Z,@zukzworld
Where is the food (meat)?,[],2024-11-14T15:39:30Z,@edhahaz
