comment,replies,date,user_name
"Athletes like Tyson & Jordan and so on only comes along once in a life time in what ever sport you watch. Having been able to see them in their grace and remember these moments again is a joy.

Don't cry because it's over. Smile because it happened.",[],2024-11-20T04:27:25Z,@GarsonProduction
4:11 back when Boxing was real Tupac Makaveli turning over his grave,[],2024-11-18T23:37:09Z,@carlos_sosaa
"Every youngster that doesn’t know the young Mike Tyson, needs to watch this after 11/15/24. 

If these youngsters think, at the age of 58, with years and years of Drug use (Smoking Weed, and doing Mushrooms 🍄 etc…) that Jake Paul would have stood a chance against a young Tyson…

Wouldn’t even be close",[],2024-11-18T22:23:15Z,@sammythatbul1667
I just had an epiphany this is a movie easily written it's all their the drama the sacrifice the whole thing is there and it's all true that's what makes it so real it would draw big numbers trust me.,[],2024-11-18T21:08:56Z,@tahoekev2150
Tyson kissed Jacob’s 🤣,['11:54 eww i knew i wasnt tripping 😂😂😂😂🤦🏾\u200d♂️'],2024-11-18T15:31:43Z,@EFinark
Trump hyping up a liar in Robin givens. 😂,[],2024-11-18T03:03:09Z,@rustyjr4260
So kissing on the mouth was not weird back then? Oop,[],2024-11-17T22:37:36Z,@lethaldarling7292
Here after  Jake Paul fight,[],2024-11-17T20:10:41Z,@TravisCarter-c2r
8:35 dayummmmmm dude ahh was lost 😂😂😂😂,[],2024-11-17T14:54:06Z,@duketheg.o.a.t780
Came here to remember the legend,[],2024-11-17T10:04:44Z,@rileybrown117
jake paul wouldnt even have lasted a round if he fought this mike tyson,[],2024-11-17T03:50:11Z,@kirby5780
Jake should fight Jimmy Carter next.,[],2024-11-17T03:14:58Z,@CaseClash
Looks to me like he put Mike on gas,[],2024-11-17T01:08:19Z,@vincevegas8529
"Mike was an absolute legend, Dropping all those people within the first round and yet Jake made over 4x mikes net worth in on scripted fight. What a joke",[],2024-11-17T00:58:25Z,@necro4468
Anyone else here after the match with Jake?,[],2024-11-16T22:48:44Z,@justinn4912
Who else here after the sadly disappointing show we got?,[],2024-11-16T20:43:50Z,@brandonoviedo4526
1986 mike was on top of the world and young Trump watched him destroy competition sitting next to that weasel Don king. Fast forward to 2024 60 y/o mike climbs under the ropes for the last time to fight the slithering snake Jake Paul and Trump is on his second term as the president of our country…  what a time to be alive,[],2024-11-16T19:18:48Z,@frenchy8994
Buster got the long count idgaf,[],2024-11-16T19:00:47Z,@floyddarmody81
Here after the jake Paul fight mike Tyson is a warrior for going out there at age 58 Mike Tyson will always be the greatest boxer ever,[],2024-11-16T18:28:46Z,@DennisJonesII-vf7gx
My daughter asked is Jake paul would have beaten him if he was younger...i sent her this lol.  She really had no idea what that man was like.  Hope the bag he got for this takes care of his family for a long time.  Clearly that is what this was about for him,[],2024-11-16T16:33:05Z,@JustinMatsuda
"Jake isn't so dumb to fight canelo. He's already made enough money already, canelo is beast mode.",[],2024-11-16T14:57:02Z,@jaroe5349
