comment,replies,date,user_name
"do i like the wings better? YES ! But i love these because its the ONLY shoe they are doing this to.. we cant hate because its a specialty reimagined collab. just got mine and there even better in person, quality is legit too. i like the story/packaging behind it and the retro reimagined vibe to them.",[],2024-11-14T06:40:24Z,@drewsky1967
These are a must 🔥,[],2024-11-08T04:48:21Z,@insight8390
Those kicks look familiar. Feels like I've seen them in a video game or something,[],2024-11-06T02:51:14Z,@ogfortify7674
These was my first pair of 1s I wore them till . My big toe popped out of the threads,[],2024-11-03T16:22:31Z,@liwillie57
"These are really nice! My pair just got delivered today. And they didn’t disappoint with these! 🔥🔥🔥 I could careless about the wings logo not being on them, it still don’t take away from the sneaker being a dope reimagined color way!",[],2024-11-01T19:28:29Z,@LorettasOnly
I bought fake from goat..... Goat is not authentic......,[],2024-10-30T02:58:10Z,@shawnkoo1966
"Just picked up a legit pair for a little over retail, I put this pair right with my lost and founds, I completely agree on the story selling the shoe. The text on the side makes it unique, and for guys like me who watched him in his prime, it creates a little connection. Just beautifully done by Nike, I’m so glad I didn’t wait for the actual release date. I think these are gunna fly, the more people watch reviews like this and the story behind shoe becomes more known. Great review, and I’m totally with you on it.",[],2024-10-29T23:57:41Z,@jdisalvo2312
"Honestly never really thought the wings logo looked that cool, will probably try to snatch these.",[],2024-10-29T23:45:39Z,@91Metalhead
1200 is crazy lol I copped two pairs for 215$ on goat,"['Got mine for 209$ lol, crazy right']",2024-10-27T06:38:51Z,@whoshotya7507
I’m glad they hate it should be easier to buy,[],2024-10-23T20:03:46Z,@DennisAllenhateswinning
The sparkles are bacteria right?,[],2024-10-18T21:30:15Z,@mlfgc
Please everyone don’t jump on the hype so I can’t get my easy dub. I hoping these sit.,[],2024-10-17T07:56:51Z,@oldirtydave22
what do you do with the shoes after you buy like this one?,[],2024-10-16T11:24:03Z,@kevinjunio3708
Nike just exposed all you guys wit these fakes now we know can't unsee that you got fakes now sorry for your channel oh I full faith in these goats lol,[],2024-10-15T02:43:07Z,@johnmartinez1920
"We need a jordan 1 fragment reimagined. 🥲
Also im glad these came out, coped a pair early for retail and didnt have to spend 400.",[],2024-10-14T01:48:24Z,@guts1005
Trash can’t even get 85 shape right,[],2024-10-13T20:23:03Z,@artLopez24
