comment,replies,date,user_name
"Great product. Reasonable value. Shit business. They've bought out a new model and I've still not received the keg developer for the original model. One excuse after another. Paid for in May, due August, now told 22nd December..",[],2024-11-19T21:34:36Z,@pikey740
"CoOp, FarrrT Whoo, Blurp, Dang, Fart, zzziiiingggg, slurp slurp slurp, glock, slurp.",[],2024-11-15T17:02:40Z,@chrise202
"This is a great piece of equipment, but how is something that is over 1000 euros budget anything? :D",[],2024-11-14T15:48:04Z,@davorzdralo8000
"Ohhhhh, yet a new budget compact home gym…., where’s Chuck Norris….",[],2024-11-13T07:58:39Z,@dereklucero5785
This could’ve been a 5 min video,[],2024-11-10T23:19:17Z,@Black.mountain._
"The price, bro! C'mon...",[],2024-11-09T10:56:10Z,@deeo1973
What is the height requirement you would need for GHD.  I’m 5’9” and would use this in a basement with low ceilings.,[],2024-11-06T15:21:19Z,@kinnarshah4397
That costs 4.5 years worth of my gym membership...,[],2024-11-06T14:02:54Z,@t3r083
"New drinking game, take a drink every time Coop says the word “nordic”, i started this amd be thay thyme i write thosex sentamces im absomlutlay wasteeed!!!",[],2024-10-31T22:12:18Z,@mattystewart8
"$1,600!?!? Why!?!? You can get a full cage system for that!",[],2024-10-31T18:51:29Z,@jeffmonson_666
That could be ideal for Calisthenics types.,[],2024-10-31T11:42:01Z,@TititoDeBologay
Budget does not mean what you think it means,[],2024-10-31T05:11:49Z,@SophiaAphrodite
"The only thing I'm worried about when something isn't ""downgraded"" from a gym design is the quality control of the product. Bad welds, improper alignments, etc.",[],2024-10-30T22:25:15Z,@michaelwolejszo6445
On my home gym wish list now! I love this concept. This and the SkiErg combo machine too.,[],2024-10-30T19:36:00Z,@DylanMeek7
"I have the ""original"" Nordic hyper. Though not the original original... Mine has the multi colored knobs and stuff so it's a slightly updated varient. Anyway, I absolutely LOVE this thing. I pre-ordered the leg developer attachment to enable quad/ham curls and am incredibly excited for it to show up. It's been a HUGE value add for my home gym.",[],2024-10-30T14:49:29Z,@KyleVogt
"Freak Athlete's product support is lacking and they do not honor what different members of the support team say. This makes for a very frustrating customer service experience. If you ask about the 30 day return policy you will get no reply. At this time I still have damaged product and no resolution from Freak Athlete.  I have purchased the Nordic pro(about 1 year ago), the new upgrade package(Oct. 16 2024), and a WheelBarrow Sled(Oct. 16 2024). My first purchase was good no real issues other than scuffs, scratches, dents probably from shipping but I didn't really care. My second purchase has been miserable due the damages to the product and frustrating customer support. Due to the frustrating experience with the support team and Freak Athlete's lack of desire to replace the damaged part of my order. I have lost my trust in this company and regret my purchase. If you had a good experience with Freak Athlete I am happy for you, but I did not. I can not recommend this company, Buyer Beware.",[],2024-10-29T21:51:20Z,@amyandphillipdillow9152
Crazy price for what you get. But nothing new to this market,[],2024-10-29T19:55:03Z,@Gripmaster3000
"This is a BEAST!!! Good grief, this company went ALL all ALLLLL out whew",[],2024-10-28T18:06:36Z,@kwameadams1140
I was watching your video views because I’m an athletes moving into a trucking career (Semi) and I think this machine is perfect for helping reach more functional strength training that I thought possible living in truck. Just want to say thank you in advance. Definitely don’t want to sacrifice exercise and this will really help.,[],2024-10-27T18:50:43Z,@danieldominguez8770
Can it bench?,[],2024-10-27T09:57:01Z,@gwynm8506
I'm sold!,[],2024-10-27T05:34:37Z,@dannyfleigle6960
Is this good for herniated disc rehab,[],2024-10-26T17:59:46Z,@JuicySuperNova
"Would you recommend this over a stand alone leg curl/extension machine. Not sure how it compares to something like Titan's dedicated machine in terms of weight tolerance, resistance curve, etc.",['That’s my question as well'],2024-10-25T17:54:38Z,@dabbott927
"Can you tilt the angle of the seat/bench to increase the incline while doing leg extensions/leg curls?  If so, its a great way to increase resistance at the lengthened position which id certainly buy this piece of equipment if i could do that",[],2024-10-24T17:38:36Z,@garr6758
Price is up $400 2 months after this video came out,[],2024-10-24T16:12:05Z,@Slavagfunk3
For the price they want for this you can buy a rack machine,[],2024-10-24T00:33:32Z,@briancase9163
Price increased by 300 since this video..............,[],2024-10-22T08:36:38Z,@SkMrFusion123
Can I throw out my adjustable weight bench and replace it with this?,[],2024-10-20T17:40:23Z,@cheecogregthegreat
Has anyone used this as a bench or incline bench?,[],2024-10-19T02:18:42Z,@alvanmorales9071
“Premium” home gym equipment..,[],2024-10-14T04:07:10Z,@abhishekmaan5818
It's $1200....,[],2024-10-13T23:56:06Z,@MageryGuy
"This is my favorite piece of home gym equipment.  So many options to strengthen your entire core ... the back extension feels so good. When you do side bends/leans, you realize how sturdy this machine is as there is no tilt even though all your body weight is on one side of the machine.  Phenomenal given the relatively low weight of the machine!  The leg developer attachment is fire!  I agree with your assessment on the leg extension.  One detail that is overlooked on the leg curl is the decline position you are in when doing the leg curl.  I did not realize this until I watched a friend do the leg curl on a flat bench.  When doing leg curl on a flat bench, it is easy for your low back to compress and/or have your butt raise.  Watching the top of the movement on the flat bench, you realize that you probably should be doing leg curl in a decline position.  Sooooo, when you do the leg curl on the Freak Athlete in decline position (as you show in your video), you preserve your lower back from the compression that comes with doing leg curl on a flat bench.  IMO, that is huge ... and overlooked.",[],2024-10-13T02:53:33Z,@HunterMalin
Thanks for the great review I've had 2 knee surgeries including a full ACL and lower back issues. ordered one based off this review love it still waiting for the leg developer. But big fan so far.,[],2024-10-12T03:48:26Z,@burtonguy81
Lewis John Allen Betty Williams William,[],2024-10-10T22:31:43Z,@shirleybargeman4484
